Month,Month_text,year,Date,season,No.,type of airplane,Origin,destination,region,expect time,real time,delay time
1,Jan,2017,1/1/2017,winter,1,A320/M,Chiang Mai,Suvarnabhumi,Central,7,7.05,5
1,Jan,2017,1/1/2017,winter,3,B738/M,Chiang Mai,Bangkok,Central,7.45,8,15
1,Jan,2017,1/1/2017,winter,4,B739/M,Chiang Mai,Bangkok,Central,8,8.13,13
1,Jan,2017,1/1/2017,winter,7,A320/M,Chiang Mai,Bangkok,Central,8.2,8.21,1
1,Jan,2017,1/1/2017,winter,8,B738/M,Chiang Mai,Bangkok,Central,8.3,9.15,45
1,Jan,2017,1/1/2017,winter,10,A320/M,Chiang Mai,Suvarnabhumi,Central,9,9.12,12
1,Jan,2017,1/1/2017,winter,13,A320/M,Chiang Mai,Suvarnabhumi,Central,10,10.04,4
1,Jan,2017,1/1/2017,winter,14,B77W/H,Chiang Mai,Suvarnabhumi,Central,10.05,10.21,16
1,Jan,2017,1/1/2017,winter,15,B739/M,Chiang Mai,Bangkok,Central,10.15,10.55,40
1,Jan,2017,1/1/2017,winter,17,A320/M,Chiang Mai,Bangkok,Central,10.25,10.26,1
1,Jan,2017,1/1/2017,winter,18,B772/H,Chiang Mai,Suvarnabhumi,Central,10.4,11.25,45
1,Jan,2017,1/1/2017,winter,19,B738/M,Chiang Mai,Bangkok,Central,10.45,10.47,2
1,Jan,2017,1/1/2017,winter,20,B738/M,Chiang Mai,Bangkok,Central,11.4,11.49,9
1,Jan,2017,1/1/2017,winter,21,A320/M,Chiang Mai,Suvarnabhumi,Central,11.45,12.06,21
1,Jan,2017,1/1/2017,winter,23,A320/M,Chiang Mai,Bangkok,Central,12.15,12.28,13
1,Jan,2017,1/1/2017,winter,24,A320/M,Chiang Mai,Suvarnabhumi,Central,12.2,12.56,36
1,Jan,2017,1/1/2017,winter,26,A320/M,Chiang Mai,Bangkok,Central,12.35,12.45,10
1,Jan,2017,1/1/2017,winter,29,B739/M,Chiang Mai,Bangkok,Central,13.05,13.23,18
1,Jan,2017,1/1/2017,winter,31,A320/M,Chiang Mai,Bangkok,Central,13.25,13.4,15
1,Jan,2017,1/1/2017,winter,32,B739/M,Chiang Mai,Bangkok,Central,13.3,13.55,25
1,Jan,2017,1/1/2017,winter,34,A320/M,Chiang Mai,Suvarnabhumi,Central,14.1,14.37,27
1,Jan,2017,1/1/2017,winter,35,A320/M,Chiang Mai,Bangkok,Central,14.15,14.17,2
1,Jan,2017,1/1/2017,winter,36,B738/M,Chiang Mai,Bangkok,Central,14.25,14.42,17
1,Jan,2017,1/1/2017,winter,38,B738/M,Chiang Mai,Bangkok,Central,14.35,14.49,14
1,Jan,2017,1/1/2017,winter,39,A320/M,Chiang Mai,Suvarnabhumi,Central,15,15.32,32
1,Jan,2017,1/1/2017,winter,40,B738/M,Chiang Mai,Bangkok,Central,15.25,15.37,12
1,Jan,2017,1/1/2017,winter,41,A320/M,Chiang Mai,Bangkok,Central,15.3,15.49,19
1,Jan,2017,1/1/2017,winter,42,A320/M,Chiang Mai,Bangkok,Central,15.4,15.44,4
1,Jan,2017,1/1/2017,winter,43,B739/M,Chiang Mai,Bangkok,Central,15.45,16.01,16
1,Jan,2017,1/1/2017,winter,46,A333/H,Chiang Mai,Suvarnabhumi,Central,16.2,16.44,24
1,Jan,2017,1/1/2017,winter,48,A320/M,Chiang Mai,Bangkok,Central,16.35,16.51,16
1,Jan,2017,1/1/2017,winter,49,A333/H,Chiang Mai,Suvarnabhumi,Central,17.05,17.3,25
1,Jan,2017,1/1/2017,winter,50,B739/M,Chiang Mai,Bangkok,Central,17.1,17.39,29
1,Jan,2017,1/1/2017,winter,51,A320/M,Chiang Mai,Suvarnabhumi,Central,17.15,17.46,31
1,Jan,2017,1/1/2017,winter,52,A320/M,Chiang Mai,Suvarnabhumi,Central,17.25,18,35
1,Jan,2017,1/1/2017,winter,53,A320/M,Chiang Mai,Bangkok,Central,17.3,17.51,21
1,Jan,2017,1/1/2017,winter,55,B739/M,Chiang Mai,Bangkok,Central,18.05,18.06,1
1,Jan,2017,1/1/2017,winter,56,B738/M,Chiang Mai,Bangkok,Central,18.1,18.24,14
1,Jan,2017,1/1/2017,winter,58,A320/M,Chiang Mai,Bangkok,Central,18.4,18.49,9
1,Jan,2017,1/1/2017,winter,59,A320/M,Chiang Mai,Suvarnabhumi,Central,19.1,19.27,17
